Date,Open,High,Low,Close
12-Jul-2016,"648,28","675,26","646,78","664,55"
11-Jul-2016,"648,48","659,63","644,98","647,66"
10-Jul-2016,"650,6","652,29","641,26","649,36"
09-Jul-2016,"666,38","666,38","633,4","650,96"
08-Jul-2016,"640,69","666,71","636,47","666,52"
07-Jul-2016,"678,09","682,43","611,83","640,56"
06-Jul-2016,"670,42","681,9","670,42","677,33"
05-Jul-2016,"683,21","683,49","665,07","670,63"
04-Jul-2016,"658,8","683,66","650,51","683,66"
03-Jul-2016,"704,97","704,97","649,01","658,66"
02-Jul-2016,"676,73","703,7","676,4","703,7"
01-Jul-2016,"672,52","686,15","669,59","676,3"
30-Jun-2016,"640,59","675,4","636,61","673,34"
29-Jun-2016,"644,12","644,68","628,28","639,89"
28-Jun-2016,"658,1","659,25","637,77","647"
27-Jun-2016,"629,35","655,28","620,52","655,28"
26-Jun-2016,"665,93","665,98","616,93","629,37"
25-Jun-2016,"665,28","691,73","646,56","665,12"
24-Jun-2016,"625,58","681,73","625,27","665,3"
23-Jun-2016,"597,44","629,33","558,14","623,98"
22-Jun-2016,"665,92","678,67","587,48","596,12"
21-Jun-2016,"735,88","735,88","639,07","666,65"
20-Jun-2016,"763,93","764,08","732,73","737,23"
19-Jun-2016,"756,69","766,62","745,63","763,78"
18-Jun-2016,"748,76","777,99","733,93","756,23"
17-Jun-2016,"768,49","775,36","716,56","748,91"
16-Jun-2016,"696,52","773,72","696,52","766,31"
15-Jun-2016,"685,69","696,3","672,56","694,47"
14-Jun-2016,"704,5","704,5","662,8","685,56"
13-Jun-2016,"671,65","716","664,49","704,38"
